Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,24,MNL,NBA,SF,70,,40.8,8.6,21.2,0.408,7.6,9.8,0.777,15,4.1,3.9,24.9
1959-60,25,MNL,NBA,SF,70,,41,10.8,25.4,0.424,8.1,11,0.732,16.4,3.5,3.3,29.6
1960-61,26,LAL,NBA,SF,73,,42.9,12.8,29.7,0.43,9.3,11.8,0.783,19.8,5.1,3.8,34.8
1961-62,27,LAL,NBA,SF,48,,44.4,14.2,33.1,0.428,9.9,13.1,0.754,18.6,4.6,3.2,38.3
1962-63,28,LAL,NBA,SF,*80*,,42.1,12.9,28.4,0.453,8.3,9.9,0.837,14.3,4.8,2.8,34
1963-64,29,LAL,NBA,SF,78,,40.6,9.7,22.8,0.425,6,7.5,0.804,12,4.4,3,25.4
1964-65,30,LAL,NBA,SF,74,,41.3,10.3,25.7,0.401,6.5,8.2,0.792,12.8,3.8,3.2,27.1
1965-66,31,LAL,NBA,SF,65,,30.4,6.4,15.9,0.401,3.8,5.2,0.739,9.6,3.4,2.4,16.6
1966-67,32,LAL,NBA,SF,70,,38.7,10.2,23.7,0.429,6.3,7.7,0.813,12.8,3.1,3,26.6
1967-68,33,LAL,NBA,SF,77,,39.3,9.8,22.2,0.443,6.3,8.1,0.786,12.2,4.6,3,26
1968-69,34,LAL,NBA,SF,76,,40.3,9.6,21.5,0.447,5.5,7.5,0.743,10.6,5.4,2.7,24.8
1969-70,35,LAL,NBA,SF,54,,41,9.5,19.5,0.486,5.1,6.6,0.773,10.4,5.4,2.4,24
1970-71,36,LAL,NBA,SF,2,,28.5,4,9.5,0.421,2,3,0.667,5.5,1,3,10
1971-72,37,LAL,NBA,SF,9,,26.6,4.7,10.8,0.433,2.4,3,0.815,6.3,2,2.2,11.8
