Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,NYK,NBA,PG,82,80,39.6,5.3,12.4,0.432,0.4,1.5,0.254,5,10.8,0.458,0.448,2.5,3.2,0.774,1.5,3.4,4.8,10.6,2.5,0.1,3.1,3,13.6
1988-89,23,NYK,NBA,PG,72,72,34.4,6.7,14.2,0.467,1.1,3.3,0.338,5.5,10.9,0.507,0.507,2.5,3.6,0.698,1.5,3.3,4.7,8.6,1.9,0.1,3.1,2.3,16.9
1989-90,24,NYK,NBA,PG,*82*,69,29.6,4,9.1,0.437,0.4,1.6,0.267,3.6,7.5,0.472,0.46,1.5,2,0.727,1.3,2.6,3.9,7.4,1.3,0,2.6,1.5,9.9
1990-91,25,NYK,NBA,PG,72,21,22.2,3.5,7.1,0.492,0.2,0.7,0.255,3.3,6.3,0.519,0.505,1.6,2.2,0.731,0.9,1.9,2.7,6.3,0.8,0.1,1.9,1.1,8.8
1991-92,26,NYK,NBA,PG,81,81,30.4,4.5,9.2,0.491,0.1,0.5,0.256,4.4,8.7,0.506,0.499,2.1,2.7,0.77,1.2,2.6,3.8,8.6,1.4,0.2,2.6,1.9,11.3
1992-93,27,LAC,NBA,PG,82,81,38,5.6,11.5,0.486,0.3,1,0.268,5.3,10.5,0.506,0.497,2.9,3.7,0.803,1.6,3.2,4.7,8.8,1.7,0.1,2.7,1.9,14.4
1993-94,28,LAC,NBA,PG,79,79,34.3,4.2,9.3,0.452,0.5,1.6,0.283,3.7,7.7,0.488,0.477,2.1,2.7,0.791,1.4,3.1,4.4,8.6,1.5,0.1,2.9,1.5,10.9
1994-95,29,IND,NBA,PG,*82*,67,29.3,2.9,6.9,0.422,0.3,1.1,0.31,2.6,5.8,0.443,0.446,1.5,1.9,0.778,0.9,2.8,3.7,7.5,1.3,0.2,2.6,1.8,7.6
1995-96,30,IND,NBA,PG,81,81,32.6,3.7,7.7,0.473,0.8,1.8,0.43,2.9,5.9,0.486,0.524,1.9,2.4,0.785,0.8,3,3.8,7.8,1.2,0.1,2.5,1.9,10
1996-97,31,TOT,NBA,PG,82,82,37.2,3.5,8.3,0.426,0.8,2.2,0.371,2.7,6.1,0.445,0.474,2,2.6,0.789,1.1,3.7,4.8,*11.4*,1.2,0.1,3.3,2,9.9
1996-97,31,DEN,NBA,PG,52,52,38.5,3.7,8.7,0.425,0.9,2.3,0.397,2.8,6.4,0.435,0.478,2.1,2.6,0.801,1.4,3.8,5.2,12.3,1,0.2,3.3,2,10.4
1996-97,31,IND,NBA,PG,30,30,35.1,3.2,7.6,0.427,0.6,1.9,0.316,2.6,5.7,0.465,0.467,2,2.6,0.766,0.7,3.5,4.1,9.8,1.5,0.1,3.4,1.9,9
1997-98,32,IND,NBA,PG,*82*,82,29.4,3,7.3,0.416,0.5,1.7,0.314,2.5,5.6,0.447,0.452,1.7,2.2,0.761,0.8,3.1,3.9,8.7,1,0,2.1,1.6,8.3
1998-99,33,IND,NBA,PG,49,49,28.2,2.8,6.7,0.419,0.7,2.1,0.311,2.2,4.6,0.469,0.468,1.3,1.6,0.823,0.7,3.1,3.8,7.9,0.9,0.1,2,1.2,7.6
1999-00,34,IND,NBA,PG,81,81,27,3,7,0.432,1.1,2.7,0.403,1.9,4.3,0.45,0.51,1,1.2,0.806,0.8,2.9,3.7,8,0.9,0.1,2.1,1.4,8.1
2000-01,35,TOT,NBA,PG,*83*,82,31.2,2.9,7,0.419,0.8,2.5,0.338,2.1,4.5,0.463,0.479,0.9,1.1,0.785,0.8,2.9,3.7,8,1,0.1,2.1,1.7,7.6
2000-01,35,TOR,NBA,PG,54,54,33.4,3.1,7.5,0.422,1.1,3.1,0.345,2.1,4.4,0.475,0.493,1.2,1.4,0.842,0.8,2.6,3.4,9.2,1.2,0.1,2.2,1.5,8.5
2000-01,35,NYK,NBA,PG,29,28,27.1,2.6,6.2,0.411,0.4,1.4,0.31,2.1,4.8,0.442,0.447,0.3,0.6,0.529,0.7,3.4,4.1,5.6,0.7,0,2,1.9,5.9
2001-02,36,NYK,NBA,PG,82,82,28.9,3.2,7.2,0.439,1,2.4,0.405,2.2,4.8,0.456,0.506,1.1,1.3,0.791,0.7,3.1,3.8,7.4,0.9,0,1.8,2,8.4
2002-03,37,UTA,NBA,PG,82,0,17.9,1.8,4.5,0.398,0.3,1.2,0.284,1.5,3.3,0.438,0.435,0.7,1,0.763,0.4,1.7,2.1,4.6,0.6,0,1.9,1.1,4.7
2003-04,38,HOU,NBA,PG,42,3,13.7,0.8,2.4,0.34,0.2,1,0.171,0.6,1.4,0.458,0.375,0.7,0.9,0.718,0.2,1.4,1.7,2.8,0.4,0,1.3,1,2.5
